shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
11.0,3.0,3366,MATW,29.56,24452.0,-0.207931,31290.0,2020-02-01,924932.4,2020-02-01,7.3,6.7,AA,,,,,-8.13,1.07,-3.79,0.12,-0.4
11.0,1.0,3296,OC,56.49,275113.0,-0.066127,108278.0,2020-02-01,6116624.220000001,2020-02-01,8.2,6.3,AA,,,,,-8.13,1.07,-3.79,0.12,-0.4
11.0,3.0,5990,PDCO,18.28,317126.0,0.212557,95947.0,2020-04-01,1753911.16,2020-04-01,10.0,7.2,AAA,,,,,13.65,2.47,-1.26,0.0,-5.23
12.0,1.0,1389,CLB,21.33,168590.0,0.050197,44484.0,2020-07-01,948843.72,2020-07-01,7.8,6.8,AA,,,,,5.77,-2.32,-1.37,0.01,7.61
12.0,1.0,8741,INFO,60.0,1080144.0,-0.157777,398916.0,2020-03-01,23934960.0,2020-03-01,7.9,6.5,AA,,,,,-13.39,-4.86,-13.95,0.13,7.97
31.0,1.0,7311,WPP,62.16,32719.0,-0.115664,13929.0,2020-01-01,865826.6399999999,2020-01-01,8.525,6.7,AAA,,,,,-0.11,-3.11,-6.23,0.13,5.98
11.0,3.0,4911,XEL,65.03,666908.0,0.023128,525171.0,2020-05-01,34151870.13,2020-05-01,7.840000000000001,6.540000000000001,AA,,,,,5.58,2.47,-4.89,0.01,0.43
73.0,4.0,6726,DUST,17.41,1453557.0,-0.29996,7710.0,2020-07-01,134231.1,2020-07-01,10.0,7.0,AAA,,,,,5.77,-2.32,-1.37,0.01,7.61
73.0,4.0,6726,SDY,90.83,162997.0,0.032981,169754.0,2020-05-01,15418755.82,2020-05-01,10.0,7.6,AAA,,,,,5.58,2.47,-4.89,0.01,0.43
31.0,1.0,4931,CIG,2.08,6457.0,0.085153,56421.0,2020-10-01,117355.68,2020-10-01,8.5,6.6,AA,,,,,-2.1,4.37,4.22,0.01,-3.05
12.0,1.0,7382,JCI,39.45,1049884.0,-0.030951,763827.0,2020-01-01,30132975.15,2020-01-01,10.0,7.4,AAA,,,,,-0.11,-3.11,-6.23,0.13,5.98
11.0,3.0,3674,TXN,142.78999,927066.0,0.004502,917641.0,2020-09-01,131029949.21359,2020-09-01,8.4,6.6,AA,,,,,-3.63,0.04,-2.68,0.01,3.12
14.0,1.0,6722,FRA,13.47,51571.0,0.002232,36576.0,2020-01-01,492678.72,2020-01-01,8.4,6.5,AA,,,,,-0.11,-3.11,-6.23,0.13,5.98
11.0,3.0,7372,APPS,32.74,1167446.0,0.353452,88697.0,2020-09-01,2903939.7800000003,2020-09-01,4.8500000000000005,4.75,AA,,,,,-3.63,0.04,-2.68,0.01,3.12
11.0,1.0,6531,MMI,31.23,26138.0,0.134811,39328.0,2020-10-01,1228213.44,2020-10-01,6.5,5.9,A,,,,,-2.1,4.37,4.22,0.01,-3.05
